ID,leaf_rust,stem_rust,healthy_wheat
643083,1,0,0
008FWT,0,1,0
00AQXY,0,1,0
01OJZX,0,1,0
07OXKK,0,0,1
085IEC,0,0,1
08O2YE,0,1,1
08WLJO,1,0,0
0E1VTP,0,0,1
0GJFRQ,0,1,0
0J3PQ7,0,1,0
0JIX2C,0,1,0
0K9T9T,0,1,0
0KAN82,0,1,0
0KUZ3P,0,0,1
0L5TC8,1,0,0
0M9DP3,0,1,0
0OATVC,0,0,0
0SB9C6,0,1,0
0Y28MS,0,1,1
109IJP,0,0,1
13GW8I,1,0,1
1BBY5N,1,0,0
1DIKQJ,0,1,0
1DVSQ2,1,0,0
1HM2XF,1,0,0
1JPXPR,1,0,0
1NCGYL,1,0,0
1R1HEY,0,1,0
1UJG28,1,0,0
1UUIVR,0,0,0
1WP5MJ,1,0,0
1WSHC2,0,1,0
24NGN1,1,1,0
25KFBP,1,0,1
26MSDN,0,0,0
27CXW6,1,0,0
28ZT9U,0,1,0
29EECO,0,1,0
29QHAM,1,0,0
2A1J3E,0,0,1
2A95RQ,1,0,0
2B7M5Y,0,1,0
2DAFN2,1,0,0
2EJ10A,0,1,0
2G71YU,1,0,0
2JFP1V,0,1,0
2NB0GZ,1,0,0
2RD61E,0,1,0
2TLYBN,0,1,0
2UP3BD,0,1,0
2WZMHJ,1,0,0
2X9AJD,0,1,0
2XCJEM,1,0,1
2Z4K3R,1,1,0
31GWYB,0,0,1
3617JB,0,1,0
36J4N7,1,0,0
3EU616,0,1,0
3FJAUN,0,1,0
3FMX4F,0,0,1
3HQ3PI,1,0,0
3HTS4K,1,0,0
3LEBBE,0,1,0
3PMT29,0,0,0
3QYBX8,1,0,0
3QZDCW,1,0,0
3RITFB,1,0,0
3SL5BH,0,1,0
3TC5J1,0,1,0
3UY9NX,0,0,1
3UZ447,0,1,0
3XZTJC,0,1,0
3Y7B9H,0,0,1
43AW2T,0,1,0
44C3D0,1,0,0
44P9JJ,0,1,0
45HKLN,1,1,0
45W9CB,1,0,1
476JFR,0,1,0
47Y0EN,0,1,0
4BNHPI,0,1,0
4BXHHC,1,0,0
4C6BNB,1,0,1
4CCP3Y,0,0,1
4DPZTB,0,0,1
4EMA2X,1,0,0
4GSOVC,1,0,0
4H1YI5,0,0,0
4J0AQ2,0,1,0
4JIVV3,0,0,1
4LN6L6,1,0,0
4U2CGA,1,0,0
4UUK28,0,1,0
4Z2Z6Y,0,1,0
50GZHW,0,0,1
513FKC,0,1,0
54ZZDF,0,0,1
566UF3,0,1,0
56HDSQ,0,0,0
56SNDY,0,1,0
58RYVJ,1,0,0
59XKQY,0,1,0
5I8R0P,0,1,0
5IQ4SM,0,0,1
5KLFGH,0,1,0
5LY2EZ,1,0,0
5O37UP,0,1,0
5O7BED,0,1,0
5QVR77,1,0,0
5RZ9WS,0,0,1
5ZV470,0,1,0
5ZYD0Z,1,0,0
61EW8T,0,0,1
62SE3K,1,0,0
630YN8,1,0,0
64NM6J,1,0,0
65ZIX2,0,1,1
66BJ7B,0,1,0
69KEFW,1,0,0
6CSSKO,0,1,0
6MVSPH,0,0,0
6OR8LX,1,0,0
6RQGO4,0,1,0
6TBILJ,0,1,0
6VCZTR,0,0,1
70N4MI,0,0,1
73LCCX,0,1,0
